,league,id,minute,result,X,Y,player,h_a,player_id,situation,season,shotType,match_id,home_team,away_team,home_goals,away_goals,date,player_assisted,lastAction
13481,Ligue_1,398106,80,MissedShots,0.885999984741211,0.402999992370605,José Fonte,a,834,FromCorner,2020,Head,15942,Nimes,Lille,0,1,2021-01-09 20:00:00,Jonathan Bamba,Aerial
13482,Ligue_1,398107,81,BlockedShot,0.919000015258789,0.639000015258789,Jonathan Bamba,a,3749,OpenPlay,2020,LeftFoot,15942,Nimes,Lille,0,1,2021-01-09 20:00:00,Reinildo,Pass
13723,Ligue_1,399437,9,SavedShot,0.781999969482422,0.237999992370605,Yusuf Yazici,h,7756,OpenPlay,2020,LeftFoot,15948,Lille,Reims,2,1,2021-01-17 16:00:00,Tiago Djaló,Pass
13724,Ligue_1,399439,11,BlockedShot,0.699000015258789,0.330999984741211,Jonathan Bamba,h,3749,OpenPlay,2020,RightFoot,15948,Lille,Reims,2,1,2021-01-17 16:00:00,Jonathan Ikone,Pass
13725,Ligue_1,399440,22,BlockedShot,0.710999984741211,0.69,Jonathan Bamba,h,3749,OpenPlay,2020,RightFoot,15948,Lille,Reims,2,1,2021-01-17 16:00:00,Jonathan Christian David,Pass
13726,Ligue_1,399442,41,BlockedShot,0.801999969482422,0.5,Jonathan Bamba,h,3749,OpenPlay,2020,LeftFoot,15948,Lille,Reims,2,1,2021-01-17 16:00:00,Yusuf Yazici,Pass
13727,Ligue_1,399443,44,SavedShot,0.900999984741211,0.545,Benjamin André,h,3223,SetPiece,2020,Head,15948,Lille,Reims,2,1,2021-01-17 16:00:00,Yusuf Yazici,Aerial
13728,Ligue_1,399444,47,Goal,0.724000015258789,0.545,Jonathan Bamba,h,3749,OpenPlay,2020,RightFoot,15948,Lille,Reims,2,1,2021-01-17 16:00:00,,BallRecovery
13729,Ligue_1,399445,49,SavedShot,0.858000030517578,0.334000015258789,Jonathan Christian David,h,8636,OpenPlay,2020,LeftFoot,15948,Lille,Reims,2,1,2021-01-17 16:00:00,Boubakary Soumare,Pass
10027,Ligue_1,378589,65,BlockedShot,0.908000030517578,0.482999992370605,Jonathan Ikone,h,5661,SetPiece,2020,LeftFoot,14214,Lille,Nantes,2,0,2020-09-25 19:00:00,Sven Botman,HeadPass
10028,Ligue_1,378591,69,ShotOnPost,0.845,0.555,Jonathan Bamba,h,3749,OpenPlay,2020,RightFoot,14214,Lille,Nantes,2,0,2020-09-25 19:00:00,Jonathan Ikone,Pass
10029,Ligue_1,378592,69,BlockedShot,0.955999984741211,0.632999992370605,Jonathan Bamba,h,3749,OpenPlay,2020,RightFoot,14214,Lille,Nantes,2,0,2020-09-25 19:00:00,,Rebound
10030,Ligue_1,378595,86,Goal,0.885,0.5,Burak Yilmaz,h,8637,Penalty,2020,RightFoot,14214,Lille,Nantes,2,0,2020-09-25 19:00:00,,Standard
10458,Ligue_1,381053,17,BlockedShot,0.745999984741211,0.472000007629395,Jonathan Christian David,a,8636,OpenPlay,2020,LeftFoot,15813,Strasbourg,Lille,0,3,2020-10-04 13:00:00,José Fonte,Pass
10459,Ligue_1,381054,20,Goal,0.749000015258789,0.36,Mehmet Zeki Çelik,a,6872,OpenPlay,2020,RightFoot,15813,Strasbourg,Lille,0,3,2020-10-04 13:00:00,,BallRecovery
10460,Ligue_1,381055,24,MissedShots,0.690999984741211,0.525,Renato Sanches,a,5228,OpenPlay,2020,LeftFoot,15813,Strasbourg,Lille,0,3,2020-10-04 13:00:00,Mehmet Zeki Çelik,Pass
10461,Ligue_1,381059,47,SavedShot,0.893000030517578,0.650999984741211,Jonathan Christian David,a,8636,OpenPlay,2020,LeftFoot,15813,Strasbourg,Lille,0,3,2020-10-04 13:00:00,,BallRecovery
10462,Ligue_1,381060,51,SavedShot,0.900999984741211,0.265,Burak Yilmaz,a,8637,OpenPlay,2020,RightFoot,15813,Strasbourg,Lille,0,3,2020-10-04 13:00:00,Mehmet Zeki Çelik,Chipped
14186,Ligue_1,402213,6,BlockedShot,0.861999969482422,0.357000007629395,Yusuf Yazici,h,7756,OpenPlay,2020,LeftFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,,None
14187,Ligue_1,402214,9,MissedShots,0.704000015258789,0.51,Boubakary Soumare,h,6310,OpenPlay,2020,LeftFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,Jonathan Christian David,Pass
14188,Ligue_1,402215,15,SavedShot,0.930999984741211,0.545999984741211,Sven Botman,h,8635,FromCorner,2020,Head,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,Yusuf Yazici,Aerial
14189,Ligue_1,402216,17,MissedShots,0.778000030517578,0.645999984741211,Jonathan Bamba,h,3749,OpenPlay,2020,RightFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,Benjamin André,Pass
14190,Ligue_1,402217,24,MissedShots,0.844000015258789,0.287999992370605,Luiz Araujo,h,6012,OpenPlay,2020,LeftFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,José Fonte,TakeOn
14191,Ligue_1,402218,25,MissedShots,0.974000015258789,0.711999969482422,Yusuf Yazici,h,7756,OpenPlay,2020,LeftFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,Jonathan Bamba,Chipped
14192,Ligue_1,402220,28,Goal,0.973000030517578,0.577000007629395,Yusuf Yazici,h,7756,OpenPlay,2020,RightFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,,TakeOn
14193,Ligue_1,402221,32,MissedShots,0.755999984741211,0.385,Yusuf Yazici,h,7756,OpenPlay,2020,RightFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,Jonathan Bamba,Pass
14194,Ligue_1,402223,33,BlockedShot,0.800999984741211,0.575,Yusuf Yazici,h,7756,OpenPlay,2020,LeftFoot,15967,Lille,Dijon,1,0,2021-01-31 16:00:00,,BallRecovery
11667,Ligue_1,388273,83,SavedShot,0.855999984741211,0.562999992370605,Isaac Lihadji,h,7717,OpenPlay,2020,LeftFoot,15859,Lille,Lorient,4,0,2020-11-22 20:00:00,Boubakary Soumare,Pass
11668,Ligue_1,388274,84,BlockedShot,0.733000030517578,0.542000007629394,Boubakary Soumare,h,6310,OpenPlay,2020,LeftFoot,15859,Lille,Lorient,4,0,2020-11-22 20:00:00,Jonathan Christian David,TakeOn
11669,Ligue_1,388275,88,BlockedShot,0.905999984741211,0.247000007629395,Isaac Lihadji,h,7717,OpenPlay,2020,LeftFoot,15859,Lille,Lorient,4,0,2020-11-22 20:00:00,,None
11670,Ligue_1,388276,88,MissedShots,0.859000015258789,0.524000015258789,Benjamin André,h,3223,FromCorner,2020,Head,15859,Lille,Lorient,4,0,2020-11-22 20:00:00,Isaac Lihadji,Aerial
11671,Ligue_1,388277,89,Goal,0.901999969482422,0.482000007629395,Jonathan Christian David,h,8636,OpenPlay,2020,LeftFoot,15859,Lille,Lorient,4,0,2020-11-22 20:00:00,Isaac Lihadji,TakeOn
11947,Ligue_1,389715,10,MissedShots,0.719000015258789,0.520999984741211,Luiz Araujo,a,6012,OpenPlay,2020,LeftFoot,15875,Saint-Etienne,Lille,1,1,2020-11-29 20:00:00,Burak Yilmaz,None
